"CardNumber","ExpMonth","ExpYear","CVC","Name","ErrorCode"
"4000000000000002","12","14","123","Tanuki Kodomo","card_declined"
"4000000000000127","11","15","7890","PUNI PANIO","incorrect_cvc"
"4000000000000150","10","16","123","Ore Dareda","incorrect_expiry"
"4000000000000119","9","17","7890","omae nani","processing_error"
"4242424242424241","8","18","123","Omae","incorrect_number"
"3566002020360505","7","19","0123","ëSäp É_ÉÅ","invalid_name"
"3566002020360505","0","19","0123","Dame Month","invalid_expiry_month"
"3566002020360505","13","19","0123","Dame Month","invalid_expiry_month"
"3566002020360505","4","13","0123","Dame Year","invalid_expiry_year"
"3566002020360505","4","98","0123","Dame Year","invalid_expiry_year"
"3566002020360505","8","18","7","Dame Cvc","invalid_cvc"
"3566002020360505","8","18","43567","Dame Cvc","invalid_cvc"
